J_type,N-SIZE,Thk,Filler Size(2.4),Electrode  Size(2.5),Electrode  Size(3.25),Electrode  Size(4)
BW,0.5,2.77,0.01596072,0,0,0
FW,0.5,2.77,0,0.007612844,0,0
BW,1.5,2.77,0.014464403,0,0,0
FW,1.5,2.77,0,0.007612844,0,0
BW,2,2.77,0.040948521,0,0,0
FW,2,2.77,0,0.021551853,0,0
BW,2,2.87,0.040948521,0,0,0
FW,1.5,2.87,0,0.007612844,0,0
BW,0.75,2.87,0.018131435,0,0,0
FW,0.75,2.87,0,0.00954286,0,0
FW,2,3,0,0.03232778,0,0
FW,3,3,0,0.04766069,0,0
FW,4,3,0,0.06127803,0,0
FW,6,3,0,0.090228281,0,0
FW,8,3,0,0.117462961,0,0
FW,10,3,0,0.146413211,0,0
FW,12,3,0,0.173647891,0,0
FW,16,3,0,0.217877441,0,0
FW,18,3,0,0.245112121,0,0
FW,20,3,0,0.272346801,0,0
FW,24,3,0,0.326816161,0,0
FW,28,3,0,0.381285521,0,0
FW,30,3,0,0.408520202,0,0
FW,34,3,0,0.462989562,0,0
FW,42,3,0,0.571928282,0,0
BW,2.5,3.05,0.045158608,0,0,0
FW,2.5,3.05,0,0.045569839,0,0
BW,4,3.05,0.089874444,0,0,0
BW,3,3.05,0.069902346,0,0,0
FW,3,3.05,0,0.04766069,0,0
BW,3,3.38,0.069902346,0,0,0
BW,1,3.38,0.026262524,0,0,0
FW,1,3.38,0,0.017906266,0,0
BW,6,3.4,0.132334812,0,0,0
BW,1,3.56,0.026262524,0,0,0
FW,1,3.56,0,0.017906266,0,0
BW,3,3.56,0.069902346,0,0,0
BW,0.5,3.56,0.016748256,0,0,0
FW,0.5,3.56,0,0.011419265,0,0
BW,1.5,3.56,0.016748256,0,0,0
FW,1.5,3.56,0,0.011419265,0,0
BW,1.25,3.56,0.015726062,0,0,0
FW,1.25,3.56,0,0.010722315,0,0
BW,1.5,3.68,0.016748256,0,0,0
FW,1.5,3.68,0,0.011419265,0,0
BW,1.5,3.7,0.016748256,0,0,0
BW,0.5,3.73,0.016748256,0,0,0
FW,0.5,3.73,0,0.011419265,0,0
FW,24,3.73,0,0.326816161,0,0
FW,1.5,3.76,0,0.011419265,0,0
FW,2,3.76,0,0.03232778,0,0
BW,8,3.76,0.172279009,0,0,0
FW,8,3.76,0,0.117462961,0,0
FW,4,3.81,0,0.06127803,0,0
BW,2,3.81,0.047414077,0,0,0
FW,2,3.81,0,0.03232778,0,0
BW,3,3.81,0.069902346,0,0,0
FW,3,3.81,0,0.04766069,0,0
FW,1,3.91,0,0.017906266,0,0
BW,2,3.91,0.047414077,0,0,0
FW,2,3.91,0,0.03232778,0,0
FW,1.5,3.91,0,0.011419265,0,0
FW,0.5,3.91,0,0.011419265,0,0
BW,0.75,3.91,0.020994293,0,0,0
FW,0.75,3.91,0,0.014314291,0,0
BW,4,3.91,0.089874444,0,0,0
BW,6,3.91,0.132334812,0,0,0
BW,12,3.91,0.254683574,0,0,0
FW,24,3.91,0,0.326816161,0,0
BW,14,3.96,0.279609382,0,0,0
BW,10,4.19,0.26354378,0,0,0
FW,10,4.19,0,0.2537829,0,0
FW,1.5,4.19,0,0.019793393,0,0
FW,3,4.19,0,0.082611863,0,0
BW,1,4.55,0.032231279,0,0,0
FW,1,4.55,0,0.031037528,0,0
FW,0.75,4.55,0,0.024811437,0,0
FW,0.5,4.55,0,0.019793393,0,0
FW,24,4.55,0,0.566481346,0,0
BW,12,4.57,0.312566205,0,0,0
FW,12,4.78,0,0.300989678,0,0
BW,14,4.78,0.343156969,0,0,0
BW,18,4.78,0.441201818,0,0,0
BW,16,4.78,0.392179393,0,0,0
FW,8,4.78,0,0.203602465,0,0
FW,6,4.78,0,0.156395687,0,0
FW,4,4.78,0,0.106215252,0,0
BW,0.5,4.78,0.020554678,0,0,0
FW,0.5,4.78,0,0.019793393,0,0
FW,3,4.78,0,0.082611863,0,0
BW,14,4.8,0.343156969,0,0,0
FW,1.25,4.85,0,0.018585346,0,0
FW,1,5.08,0,0.046556292,0,0
FW,2,5.08,0,0.084052227,0,0
FW,0.5,5.08,0,0.02969009,0,0
FW,0.75,5.08,0,0.037217155,0,0
BW,1.5,5.08,0.028928806,0,0,0
FW,1.5,5.08,0,0.02969009,0,0
BW,3,5.16,0.120740415,0,0,0
BW,3,5.49,0.120740415,0,0,0
FW,3,5.49,0,0.123917794,0,0
BW,2,5.49,0.081897042,0,0,0
FW,2,5.49,0,0.084052227,0,0
FW,0.5,5.49,0,0.02969009,0,0
BW,4,5.49,0.155237677,0,0,0
FW,0.75,5.54,0,0.037217155,0,0
FW,1.5,5.54,0,0.02969009,0,0
BW,2,5.54,0.081897042,0,0,0
FW,2,5.54,0,0.084052227,0,0
FW,1,5.54,0,0.046556292,0,0
BW,20,5.54,0.689945229,0,0,0
FW,1.5,5.56,0,0.02969009,0,0
BW,0.75,5.56,0.036262869,0,0,0
FW,0.75,5.56,0,0.037217155,0,0
FW,0.5,5.56,0,0.02969009,0,0
BW,0.75,6.02,0.048668588,0,0,0
FW,1.5,6.02,0,0.041109356,0,0
BW,3,6.02,0.162046347,0,0,0
FW,3,6.02,0,0.171578485,0,0
BW,2,6.02,0.109914451,0,0,0
FW,2,6.02,0,0.116380007,0,0
BW,4,6.02,0.208345303,0,0,0
FW,4,6.02,0,0.220600909,0,0
BW,6,6.02,0.306776154,0,0,0
FW,6,6.02,0,0.324821811,0,0
FW,8,6.02,0,0.422866659,0,0
BW,8,6.35,0.399374067,0,0,0
FW,8,6.35,0,0.422866659,0,0
BW,10,6.35,0.497804919,0,0,0
FW,10,6.35,0,0.527087561,0,0
BW,6,6.35,0.306776154,0,0,0
FW,6,6.35,0,0.324821811,0,0
BW,4,6.35,0.208345303,0,0,0
FW,4,6.35,0,0.220600909,0,0
BW,14,6.35,0.648185386,0,0,0
FW,14,6.35,0,0.686313939,0,0
BW,12,6.35,0.590402831,0,0,0
FW,12,6.35,0,0.625132409,0,0
BW,16,6.35,0.740783299,0,0,0
FW,16,6.35,0,0.784358787,0,0
BW,18,6.35,0.833381211,0,0,0
FW,18,6.35,0,0.882403635,0,0
BW,2,6.35,0.109914451,0,0,0
FW,2,6.35,0,0.116380007,0,0
BW,3,6.35,0.162046347,0,0,0
FW,3,6.35,0,0.171578485,0,0
BW,1,6.35,0.060881305,0,0,0
FW,1,6.35,0,0.064462558,0,0
FW,1.5,6.35,0,0.041109356,0,0
BW,0.75,6.35,0.048668588,0,0,0
FW,0.75,6.35,0,0.051531446,0,0
FW,0.5,6.35,0,0.041109356,0,0
FW,20,6.35,0,0.980448484,0,0
BW,24,6.35,1.111174948,0,0,0
BW,1,6.49,0.060881305,0,0,0
BW,3,6.49,0.162046347,0,0,0
FW,3,6.49,0,0,0.181110623,0
BW,2,6.49,0.109914451,0,0,0
FW,2,6.49,0,0,0.122845563,0
BW,4,6.49,0.208345303,0,0,0
BW,24,6.53,1.111174948,0,0,0
FW,2.5,7.01,0,0,0.218735226,0
FW,2,7.01,0,0,0.155173343,0
FW,1,7.01,0,0,0.085950077,0
FW,0.5,7.01,0,0,0.054812474,0
FW,1.5,7.01,0,0,0.054812474,0
BW,8,7.04,0.516837028,0,0,0
FW,4,7.11,0,0,0.294134545,0
BW,6,7.11,0.397004435,0,0,0
FW,6,7.11,0,0,0.433095747,0
FW,1.5,7.11,0,0,0.054812474,0
FW,0.75,7.11,0,0,0.068708595,0
FW,2,7.11,0,0,0.155173343,0
BW,1.5,7.14,0.050244768,0,0,0
FW,1.5,7.14,0,0,0.054812474,0
FW,1.5,7.47,0,0,0.054812474,0
BW,0.5,7.47,0.050244768,0,0,0
FW,0.5,7.47,0,0,0.054812474,0
FW,0.5,7.62,0,0,0.054812474,0
